song_popularity;song_duration_ms;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;audio_mode;speechiness;tempo;time_signature;audio_valence
75.00;231480.00;0.00461;0.498;0.83;0.0;6.00;0.139;-5157.00;0.00;0.0421;8934200000000000.00;4.00;0.45299999999999996
74.00;213760.00;0.00506;0.599;0.932;0.0;9.00;0.26899999999999996;-33280000000000000.00;1.00;0.18;96234.00;4.00;0.6920000000000001
74.00;178266.00;0.000618;0.574;0.9109999999999999;0.0;9.00;0.0769;-5176.00;1.00;0.0715;98075.00;4.00;0.573
11.00;269373.00;0.000917;0.433;0.9590000000000001;0.0;9.00;0.027999999999999997;-4.04;1.00;0.0431;172984.00;4.00;0.365
73.00;242280.00;0.00164;0.5489999999999999;0.93;66700000000.00;5.00;0.39;-3468.00;0.00;0.0487;112447.00;4.00;0.526
74.00;201960.00;0.0034700000000000004;0.6559999999999999;0.932;0.00147;4.00;0.14400000000000002;-3405.00;0.00;0.0708;130936.00;4.00;0.544
79.00;229093.00;0.00898;0.499;0.8240000000000001;0.0;7.00;0.163;-47410000000000000.00;1.00;0.0794;161977.00;4.00;0.6990000000000001
70.00;193373.00;0.0223;0.624;0.899;0.000155;0.00;0.0975;-5.71;1.00;0.0295;104055.00;4.00;0.797
60.00;282946.00;0.0417;0.545;0.753;0.0;3.00;0.389;-4618.00;0.00;0.036000000000000004;10575400000000000.00;4.00;0.434
69.00;200546.00;553000000000.00;0.374;0.961;0.0834;10.00;0.138;-4421.00;0.00;0.0851;167032.00;4.00;0.35700000000000004
73.00;279213.00;0.0009960000000000001;0.695;0.8759999999999999;6.89e-06;3.00;0.106;-4262.00;0.00;0.0553;89954.00;4.00;0.941
62.00;212733.00;0.0006309999999999999;0.24600000000000002;0.768;0.301;9.00;0.102;-7.48;1.00;0.0387;169873.00;4.00;0.35
72.00;256240.00;0.00834;0.563;0.86;0.0106;8.00;0.39;-75330000000000000.00;1.00;0.0621;97867.00;4.00;0.517
57.00;194520.00;0.000153;0.391;0.831;0.0019199999999999998;2.00;0.141;-3892.00;1.00;0.0613;139946.00;4.00;0.6829999999999999
71.00;206586.00;0.000213;0.309;0.875;0.00168;1.00;0.113;-4.49;1.00;0.0488;143526.00;4.00;0.725
63.00;173680.00;0.00225;0.535;0.948;0.0;6.00;0.376;-4.19;0.00;0.0356;10318300000000000.00;4.00;0.778
64.00;215266.00;0.0132;0.524;0.578;0.00921;9.00;0.10800000000000001;-4563.00;1.00;0.12;123669.00;4.00;0.537
71.00;270920.00;0.00014;0.46799999999999997;0.769;0.00124;4.00;0.271;-70360000000000000.00;1.00;0.040999999999999995;104102.00;4.00;0.17
61.00;175026.00;0.000295;0.5920000000000001;0.932;7.59e-05;6.00;0.138;-44910000000000000.00;0.00;0.0885;93675.00;4.00;0.698
67.00;246040.00;478000000000.00;0.213;0.93;0.0;0.00;0.126;-4478.00;1.00;0.0671;16922100000000000.00;4.00;0.386
63.00;176306.00;5.1e-05;0.21899999999999997;0.9520000000000001;0.0989;2.00;0.157;-36210000000000000.00;1.00;0.17600000000000002;11288600000000000.00;1.00;0.172
72.00;277840.00;0.000336;0.433;0.8540000000000001;0.000177;9.00;0.162;-38680000000000000.00;1.00;0.0483;89.4;4.00;0.368
71.00;238400.00;0.000671;0.509;0.843;0.0008029999999999999;1.00;0.348;-3318.00;0.00;0.0488;140055.00;3.00;0.332
70.00;207213.00;0.00018;0.546;0.9590000000000001;0.00144;8.00;0.0584;-4664.00;1.00;0.08199999999999999;127831.00;4.00;0.41600000000000004
65.00;218000.00;6.94e-06;0.408;0.965;0.00040199999999999996;2.00;0.11;-4232.00;1.00;0.05;136018.00;4.00;0.349
69.00;299533.00;0.00024900000000000004;0.26899999999999996;0.853;0.000246;7.00;0.11800000000000001;-4647.00;0.00;0.0854;14158100000000000.00;4.00;0.179
66.00;247266.00;3.32e-05;0.365;0.894;0.171;11.00;0.267;-46820000000000000.00;0.00;0.0572;82305.00;3.00;0.31
94.00;210367.00;0.0143;0.818;0.54;0.000512;6.00;0.099;-6.35;0.00;0.0544;97064.00;4.00;0.174
98.00;212500.00;0.153;0.841;0.7979999999999999;3.33e-06;1.00;0.0618;-4206.00;0.00;0.22899999999999998;95948.00;4.00;0.591
59.00;185282.00;0.0983;0.83;0.49700000000000005;0.0;1.00;0.0906;-6.94;1.00;0.052000000000000005;127965.00;4.00;0.634
73.00;199230.00;0.0557;0.687;0.7659999999999999;0.00107;11.00;0.146;-6.08;1.00;0.054000000000000006;94973.00;4.00;0.303
94.00;180000.00;0.34600000000000003;0.638;0.7170000000000001;0.0;2.00;0.105;-47220000000000000.00;1.00;0.0337;100027.00;4.00;0.249
87.00;179693.00;0.35200000000000004;0.746;0.703;0.0;4.00;0.331;-4179000000000000.00;0.00;0.107;166043.00;4.00;0.667
73.00;235720.00;0.0348;0.823;0.63;6.72e-06;7.00;0.0964;-3932.00;1.00;0.0797;100.04;4.00;0.184
85.00;223583.00;0.235;0.701;0.512;5.07e-06;0.00;0.135;-6869.00;0.00;0.0969;91947.00;4.00;0.6629999999999999
61.00;243487.00;0.11699999999999999;0.695;0.884;0.0;0.00;0.10400000000000001;-6279.00;1.00;0.131;74992.00;4.00;0.8540000000000001
58.00;210865.00;0.716;0.722;0.584;0.000321;11.00;0.115;-8467.00;0.00;0.318;16997800000000000.00;4.00;0.6459999999999999
92.00;204664.00;0.00381;0.8;0.578;0.0;4.00;0.359;-5144.00;0.00;0.0485;143.01;4.00;0.36700000000000005
83.00;215151.00;0.266;0.8170000000000001;0.74;0.0;11.00;0.0992;-4566.00;0.00;0.28300000000000003;130.04;4.00;0.674
57.00;202373.00;0.107;0.39799999999999996;0.66;0.0;1.00;0.121;-5626.00;0.00;0.12;8382800000000000.00;4.00;0.7190000000000001
44.00;162733.00;0.0039700000000000004;0.812;0.748;0.0;5.00;0.174;-5959.00;0.00;0.139;132035.00;4.00;0.158
47.00;157461.00;0.0526;0.659;0.7340000000000001;2.48e-06;10.00;0.242;-4008.00;1.00;0.046;161971.00;4.00;0.34600000000000003
54.00;170997.00;0.23199999999999998;0.705;0.778;0.0;9.00;0.244;-4101.00;0.00;0.177;160099.00;4.00;0.7090000000000001
47.00;188440.00;0.0255;0.723;0.687;0.000207;11.00;0.124;-4632.00;0.00;0.2;173747.00;4.00;0.777
64.00;253714.00;0.0257;0.9279999999999999;0.402;0.0;8.00;0.0804;-7569.00;0.00;0.451;139998.00;4.00;0.62
56.00;272000.00;0.902;0.465;0.675;0.267;10.00;0.11;-7555.00;1.00;0.0485;119941.00;4.00;0.129
49.00;174000.00;0.5710000000000001;0.632;0.652;0.85;4.00;0.19399999999999998;-10558.00;1.00;0.0302;115031.00;4.00;0.594
65.00;209573.00;0.9209999999999999;0.47100000000000003;0.179;0.0;9.00;0.10099999999999999;-10273.00;1.00;0.08900000000000001;174273.00;4.00;0.19399999999999998
52.00;202754.00;0.0857;0.871;0.545;0.000499;0.00;0.0756;-6466.00;0.00;0.0625;96035.00;4.00;0.415
61.00;178009.00;0.0646;0.8290000000000001;0.606;0.391;5.00;0.281;-7093.00;1.00;0.149;118051.00;4.00;0.732
65.00;169251.00;0.149;0.8370000000000001;0.649;7.63e-05;11.00;0.10300000000000001;-5.26;0.00;0.192;164002.00;4.00;0.948
77.00;220826.00;0.13699999999999998;0.8170000000000001;0.635;7.85e-06;5.00;0.245;-5719000000000000.00;0.00;0.138;103029.00;4.00;0.777
95.00;217822.00;0.172;0.635;0.902;0.0;0.00;0.125;-35590000000000000.00;1.00;0.109;10206300000000000.00;4.00;0.28600000000000003
95.00;253390.00;0.099;0.816;0.726;0.0;5.00;0.37200000000000005;-3998.00;0.00;0.129;136048.00;4.00;0.65
74.00;217652.00;0.267;0.815;0.626;1.31e-05;6.00;0.275;-5139000000000000.00;1.00;0.10300000000000001;10998900000000000.00;4.00;0.5710000000000001
77.00;199095.00;0.39799999999999996;0.7509999999999999;0.579;228000000000.00;2.00;0.133;-40360000000000000.00;1.00;0.0321;105031.00;4.00;0.349
45.00;185743.00;0.0749;0.736;0.9059999999999999;0.000123;4.00;0.12;-1.49;0.00;0.0566;9301300000000000.00;4.00;0.611
52.00;166253.00;0.00245;0.695;0.818;3.36e-06;6.00;0.305;-5532.00;0.00;0.0482;102976.00;4.00;0.599
38.00;234373.00;0.00323;0.5429999999999999;0.847;0.0;9.00;0.0551;-3574.00;1.00;0.0659;92046.00;4.00;0.65
46.00;193846.00;0.271;0.841;0.841;260000000000.00;9.00;0.10800000000000001;-4288.00;1.00;0.0633;104.01;4.00;0.823
44.00;208800.00;0.425;0.777;0.546;0.0;7.00;0.0809;-9504.00;1.00;0.207;147173.00;4.00;0.9520000000000001
75.00;211437.00;0.102;0.84;0.789;0.0;1.00;0.309;-4695.00;0.00;0.0949;9201800000000000.00;4.00;0.619
75.00;202853.00;0.18100000000000002;0.831;0.713;0.0;1.00;0.0572;-36460000000000000.00;0.00;0.094;132109.00;4.00;0.69
45.00;198386.00;0.0797;0.825;0.48100000000000004;0.0;2.00;0.239;-8.6;1.00;0.0396;121046.00;4.00;0.7609999999999999
53.00;224413.00;0.235;0.682;0.7509999999999999;0.0;8.00;0.11;-5812.00;0.00;0.0675;129937.00;4.00;0.708
38.00;218448.00;0.006940000000000001;0.799;0.616;0.00237;5.00;0.28300000000000003;-4599.00;0.00;0.0415;127023.00;4.00;0.6970000000000001
60.00;176702.00;0.196;0.9209999999999999;0.965;0.00020099999999999998;1.00;0.32299999999999995;-1396.00;1.00;0.17800000000000002;120902.00;4.00;0.507
39.00;133120.00;0.10800000000000001;0.703;0.617;56100000000.00;7.00;0.271;-8732000000000000.00;1.00;0.0731;12315900000000000.00;4.00;0.435
88.00;201526.00;0.165;0.792;0.895;0.0;1.00;0.0501;-3112.00;0.00;0.0589;9496800000000000.00;4.00;0.794
77.00;216689.00;0.0983;0.596;0.557;0.0;1.00;0.0565;-7522.00;0.00;0.134;133247.00;5.00;0.6609999999999999
68.00;226183.00;0.0705;0.746;0.738;0.0;9.00;0.043;-3.67;1.00;0.207;9480800000000000.00;4.00;0.63
46.00;215003.00;0.0079;0.493;0.825;0.0;8.00;0.129;-4056.00;1.00;0.0798;99866.00;4.00;0.621
44.00;175239.00;0.0429;0.836;0.725;0.0;7.00;0.10800000000000001;-5445.00;0.00;0.0571;126035.00;4.00;0.76
37.00;161093.00;0.00436;0.701;0.779;0.0;11.00;0.121;-4657.00;0.00;0.0647;11997400000000000.00;4.00;0.451
53.00;182224.00;0.149;0.871;0.563;0.0;10.00;0.0568;-8329.00;0.00;0.0795;9199800000000000.00;4.00;0.62
65.00;215421.00;0.0507;0.65;0.8009999999999999;0.0;7.00;0.0645;-5407.00;0.00;0.0723;166.16;4.00;0.74
68.00;196018.00;0.265;0.784;0.43700000000000006;69800000000.00;5.00;0.126;-7868000000000000.00;1.00;0.0509;9000300000000000.00;4.00;0.47
59.00;204453.00;0.133;0.494;0.7290000000000001;0.0;2.00;0.14300000000000002;-4934.00;1.00;0.161;78833.00;4.00;0.42100000000000004
43.00;229038.00;0.0199;0.561;0.58;0.0;5.00;0.0619;-5612.00;1.00;0.0414;84.98;4.00;0.294
53.00;191906.00;0.369;0.483;0.685;0.0;10.00;0.0817;-32320000000000000.00;0.00;0.174;185502.00;4.00;0.546
54.00;237860.00;0.0762;0.62;0.823;3.13e-05;5.00;0.11199999999999999;-2436.00;1.00;0.0567;175921.00;4.00;0.40399999999999997
84.00;217288.00;0.0185;0.7040000000000001;0.8590000000000001;0.0;5.00;0.0215;-4877.00;0.00;0.0996;105115.00;4.00;0.9259999999999999
44.00;202574.00;0.586;0.633;0.765;68900000000.00;1.00;0.0966;-5732.00;1.00;0.0474;100934.00;4.00;0.489
40.00;167823.00;0.569;0.853;0.7140000000000001;0.0101;7.00;0.0716;-61770000000000000.00;1.00;0.0767;92375.00;4.00;0.836
41.00;241135.00;0.0652;0.8;0.8370000000000001;4.52e-05;7.00;0.0699;-4488.00;1.00;0.099;10502600000000000.00;4.00;0.813
37.00;194011.00;0.11800000000000001;0.743;0.7929999999999999;6.07e-05;2.00;0.22699999999999998;-5032.00;0.00;0.0546;109921.00;4.00;0.434
79.00;236133.00;0.00249;0.6459999999999999;0.77;0.0;2.00;0.0715;-6596.00;0.00;0.226;99165.00;4.00;0.6809999999999999
74.00;267266.00;0.20199999999999999;0.8909999999999999;0.7140000000000001;0.000234;4.00;0.0521;-6055.00;0.00;0.14;10097200000000000.00;4.00;0.818
10.00;241933.00;0.159;0.745;0.6659999999999999;0.0;9.00;0.302;-5899.00;1.00;0.0566;129995.00;4.00;0.708
60.00;198813.00;0.0279;0.774;0.847;0.0183;5.00;0.24100000000000002;-3925.00;0.00;0.121;143011.00;4.00;0.9229999999999999
70.00;300026.00;0.342;0.672;0.8320000000000001;0.00042800000000000005;11.00;0.242;-2388.00;0.00;0.342;11729800000000000.00;4.00;0.5489999999999999
79.00;250373.00;0.0183;0.894;0.7909999999999999;0.0;2.00;0.0388;-4699.00;1.00;0.11199999999999999;10501800000000000.00;4.00;0.583
76.00;338853.00;0.071;0.375;0.862;0.0;11.00;0.21100000000000002;-3363.00;0.00;0.255;159841.00;4.00;0.478
84.00;218093.00;0.284;0.778;0.8240000000000001;0.0;10.00;0.405;-5892.00;0.00;0.0712;100024.00;4.00;0.7559999999999999
77.00;216666.00;0.217;0.675;0.885;0.0;1.00;0.086;-44320000000000000.00;0.00;0.0436;97.03;4.00;0.768
84.00;239600.00;0.145;0.733;0.71;0.115;5.00;0.0956;-5849.00;0.00;0.0292;127975.00;4.00;0.965
74.00;246026.00;0.132;0.775;0.7190000000000001;1.79e-06;7.00;0.0662;-6212000000000000.00;0.00;0.0435;11751300000000000.00;4.00;0.7120000000000001
73.00;202533.00;0.0653;0.42100000000000004;0.873;0.0;10.00;0.12300000000000001;-4343.00;1.00;0.0565;84803.00;4.00;0.63
85.00;269560.00;0.922;0.42200000000000004;0.264;0.0;8.00;0.132;-7064.00;1.00;0.0322;119.93;4.00;0.331
78.00;259933.00;0.154;0.46799999999999997;0.64;0.0;0.00;0.154;-5862.00;1.00;0.0275;79297.00;4.00;0.499
78.00;231240.00;0.00882;0.613;0.622;0.0;1.00;0.37;-5794.00;0.00;0.0334;80003.00;4.00;0.484
69.00;245960.00;0.235;0.435;0.92;0.00035299999999999996;4.00;0.552;-1357.00;0.00;0.201;188899.00;4.00;0.45
75.00;188960.00;0.00165;0.662;0.741;0.0303;0.00;0.114;-5406000000000000.00;1.00;0.0334;131.0;4.00;0.40399999999999997
76.00;235213.00;0.10300000000000001;0.728;0.9740000000000001;0.000532;4.00;0.175;-2261.00;0.00;0.0665;7952600000000000.00;4.00;0.965
71.00;199693.00;0.0746;0.755;0.8320000000000001;1.27e-06;2.00;0.29100000000000004;-2741.00;0.00;0.11599999999999999;12003200000000000.00;4.00;0.735
71.00;223933.00;0.0439;0.764;0.6940000000000001;3.67e-06;11.00;0.18;-5745.00;0.00;0.18899999999999997;146075.00;4.00;0.581
77.00;242733.00;0.0584;0.9670000000000001;0.583;0.0;7.00;0.0519;-5562.00;0.00;0.0789;117.0;4.00;0.9640000000000001
69.00;252160.00;0.14300000000000002;0.659;0.696;0.0;3.00;0.13;-4291.00;1.00;0.071;86001.00;4.00;0.665
76.00;261426.00;0.17300000000000001;0.63;0.698;0.0;10.00;0.0789;-4.51;1.00;0.0244;94023.00;4.00;0.529
65.00;237120.00;0.0142;0.8240000000000001;0.743;2.12e-05;2.00;0.237;-5995.00;1.00;0.141;127046.00;4.00;0.804
73.00;200400.00;0.031;0.61;0.9259999999999999;0.0012;8.00;0.0821;-4843.00;0.00;0.0479;172638.00;4.00;0.861
77.00;244506.00;0.0572;0.585;0.7759999999999999;7.74e-06;5.00;0.3;-5898.00;1.00;0.0459;77987.00;4.00;0.42700000000000005
80.00;256733.00;0.235;0.6559999999999999;0.578;0.0;7.00;0.11800000000000001;-8.97;0.00;0.0922;94514.00;4.00;0.556
73.00;238560.00;0.578;0.457;0.573;3.05e-06;5.00;0.114;-3866.00;0.00;0.0275;76193.00;4.00;0.0992
54.00;203306.00;0.00611;0.701;0.7;0.0;7.00;0.0295;-4934.00;1.00;0.0876;122035.00;4.00;0.625
75.00;204160.00;0.0295;0.581;0.963;0.0;11.00;0.139;-4087.00;1.00;0.0981;12999200000000000.00;4.00;0.7879999999999999
69.00;198053.00;0.00761;0.7290000000000001;0.7709999999999999;0.0;4.00;0.087;-2451.00;1.00;0.0725;12501100000000000.00;4.00;0.873
79.00;253813.00;0.03;0.649;0.552;6.47e-06;1.00;0.111;-5419.00;0.00;0.0292;89969.00;4.00;0.158
67.00;204000.00;67900000000.00;0.48700000000000004;0.9;0.0;0.00;0.358;-4417.00;1.00;0.0482;149937.00;4.00;0.484
76.00;224400.00;0.073;0.7240000000000001;0.695;0.0;11.00;0.0889;-5226.00;1.00;0.0622;139.0;4.00;0.235
75.00;252306.00;0.192;0.6709999999999999;0.9390000000000001;0.0;8.00;0.298;-32060000000000000.00;1.00;0.161;129023.00;4.00;0.529
72.00;193213.00;0.0383;0.426;0.584;0.0;1.00;0.188;-5293000000000000.00;1.00;0.29600000000000004;193437.00;4.00;0.272
81.00;262466.00;0.188;0.638;0.6559999999999999;0.0;5.00;0.146;-5886.00;1.00;0.0357;104036.00;4.00;0.225
63.00;242013.00;0.00727;0.8140000000000001;0.899;0.21899999999999997;1.00;0.0979;-5958000000000000.00;1.00;0.0637;11901100000000000.00;4.00;0.545
77.00;258826.00;0.0208;0.583;0.7859999999999999;0.0;2.00;0.188;-3142.00;0.00;0.0301;123052.00;4.00;0.573
78.00;270506.00;0.142;0.843;0.805;0.0;4.00;0.0771;-5946000000000000.00;0.00;0.26899999999999996;94946.00;4.00;0.615
72.00;211920.00;0.00498;0.711;0.7;0.000125;1.00;0.215;-4805.00;0.00;0.046;128001.00;4.00;0.8009999999999999
62.00;254040.00;0.0533;0.524;0.904;0.0;8.00;0.7759999999999999;-20710000000000000.00;1.00;0.39799999999999996;161188.00;4.00;0.655
77.00;211160.00;0.3;0.7509999999999999;0.8340000000000001;1.77e-05;1.00;0.355;-5444.00;0.00;0.0437;95053.00;4.00;0.894
77.00;288333.00;0.575;0.624;0.653;0.0;8.00;0.10400000000000001;-6582000000000000.00;0.00;0.17600000000000002;73884.00;4.00;0.565
77.00;248413.00;0.0426;0.794;0.8109999999999999;1.07e-06;6.00;0.10099999999999999;-8966000000000000.00;0.00;0.038;11604700000000000.00;4.00;0.862
75.00;249533.00;0.0161;0.68;0.687;0.0;9.00;0.261;-6162000000000000.00;0.00;0.0709;150053.00;4.00;0.467
78.00;203786.00;0.042;0.9440000000000001;0.511;0.00107;5.00;0.0379;-10.96;0.00;0.161;113046.00;4.00;0.8420000000000001
77.00;259333.00;0.00577;0.706;0.8009999999999999;0.0;5.00;0.0822;-6333000000000000.00;1.00;0.0399;10001300000000000.00;4.00;0.63
74.00;221360.00;0.40700000000000003;0.53;0.42200000000000004;0.0;5.00;0.107;-62620000000000000.00;1.00;0.0342;119964.00;4.00;0.349
65.00;215160.00;0.000304;0.535;0.8859999999999999;2.26e-06;11.00;0.257;-31060000000000000.00;1.00;0.045;126012.00;4.00;0.445
76.00;196160.00;0.23600000000000002;0.7929999999999999;0.8320000000000001;1.12e-05;1.00;0.20199999999999999;-4862.00;0.00;0.0406;107661.00;4.00;0.872
69.00;244826.00;0.0825;0.655;0.488;1.16e-06;1.00;0.221;-9.17;1.00;0.22;91025.00;4.00;0.7909999999999999
67.00;192426.00;0.0407;0.636;0.873;1.27e-06;0.00;0.0372;-4672.00;0.00;0.071;165071.00;4.00;0.9079999999999999
77.00;223440.00;0.257;0.662;0.507;0.0;5.00;0.0465;-8238.00;1.00;0.11800000000000001;86412.00;4.00;0.6759999999999999
52.00;221920.00;0.0411;0.555;0.9229999999999999;0.0;0.00;0.11199999999999999;-59080000000000000.00;1.00;0.0482;116012.00;4.00;0.682
60.00;236373.00;0.0204;0.591;0.6990000000000001;0.0;8.00;0.0614;-5221.00;1.00;0.0449;116029.00;4.00;0.733
65.00;252853.00;0.0328;0.396;0.629;0.0;9.00;0.183;-4.78;1.00;0.0287;173794.00;4.00;0.358
69.00;216600.00;0.0007379999999999999;0.56;0.9590000000000001;0.000206;7.00;0.209;-24330000000000000.00;1.00;0.102;163983.00;4.00;0.67
76.00;210200.00;0.263;0.653;0.609;0.00101;11.00;0.233;-7519.00;0.00;0.037000000000000005;9598200000000000.00;3.00;0.48200000000000004
83.00;262533.00;0.26899999999999996;0.64;0.743;0.0;10.00;0.10099999999999999;-4.08;1.00;0.0379;122035.00;4.00;0.361
69.00;218520.00;0.255;0.63;0.894;0.0;10.00;0.18100000000000002;-4592.00;1.00;0.0544;14205100000000000.00;4.00;0.364
73.00;199946.00;0.271;0.519;0.7490000000000001;0.0;6.00;0.11900000000000001;-3318.00;0.00;0.0405;147905.00;4.00;0.29
72.00;298853.00;0.107;0.64;0.889;0.0;2.00;0.33899999999999997;-3073.00;1.00;0.322;99931.00;4.00;0.436
31.00;224946.00;0.0251;0.815;0.8079999999999999;5.37e-06;6.00;0.12;-4614.00;1.00;0.0511;11006300000000000.00;4.00;0.746
81.00;228706.00;0.603;0.609;0.445;6.77e-06;7.00;0.10400000000000001;-9129.00;1.00;0.106;11839300000000000.00;3.00;0.166
67.00;209360.00;0.0392;0.551;0.696;0.0;2.00;0.127;-6192.00;1.00;0.0265;112024.00;4.00;0.354
76.00;241853.00;0.0187;0.33799999999999997;0.8029999999999999;0.0;8.00;0.136;-5412000000000000.00;0.00;0.0413;151994.00;4.00;0.4
63.00;221626.00;0.38799999999999996;0.517;0.598;2.22e-06;6.00;0.183;-37510000000000000.00;0.00;0.263;9693300000000000.00;4.00;0.922
75.00;219493.00;0.254;0.583;0.584;0.0;5.00;0.12300000000000001;-5362.00;0.00;0.0314;140039.00;4.00;0.136
67.00;191666.00;0.0012699999999999999;0.8059999999999999;0.902;0.0;11.00;0.212;-3387.00;0.00;0.0475;12894300000000000.00;4.00;0.961
73.00;175093.00;0.006659999999999999;0.494;0.9390000000000001;0.0;1.00;0.139;-3127.00;1.00;0.126;17775100000000000.00;4.00;0.893
63.00;217760.00;0.007909999999999999;0.423;0.862;0.0;0.00;0.133;-5.13;0.00;0.0695;154746.00;4.00;0.462
68.00;234000.00;0.126;0.871;0.597;0.00011499999999999999;5.00;0.0638;-49320000000000000.00;0.00;0.0464;125999.00;4.00;0.635
73.00;234173.00;0.512;0.584;0.7;243000000000.00;6.00;0.13;-4251.00;1.00;0.0506;163953.00;4.00;0.5489999999999999
64.00;204853.00;0.017;0.423;0.922;0.0;3.00;0.102;-2602.00;1.00;0.0411;156063.00;4.00;0.5670000000000001
67.00;206520.00;0.0016600000000000002;0.423;0.94;0.0;1.00;0.17800000000000002;-4012.00;0.00;0.0635;149934.00;4.00;0.505
78.00;249626.00;0.0206;0.647;0.7290000000000001;0.0489;5.00;0.134;-6251.00;1.00;0.0236;94.01;4.00;0.687
