Real Value (z)	Prediction (y)
1.008627881943882781e-01	-1.904947708218779789e+00
1.760470563006717448e-01	-1.409918462922257865e+00
5.277875117796224647e-01	4.520914166873460927e-01
5.809108029344066670e-01	4.908045993262410422e-01
9.445891669750746678e-01	1.190332160146693852e+00
6.044489132947467036e-01	3.526505433589896543e-01
1.790318099602673241e-01	-1.480708293898171712e+00
1.152766897646969879e-01	-1.441454686669397800e+00
3.618541502824196288e-01	-6.655386857121434740e-01
5.238315932906303374e-01	3.376944523285185240e-01
5.018879805508988934e-01	2.419441106592663537e-01
3.124982568334597199e-01	-9.803554416969384455e-01
7.911924069444999930e-01	7.857444353839506679e-01
4.976902547714237013e-01	2.886600050185715305e-01
6.951737002049295233e-01	7.684600202173961225e-01
5.080406228345856201e-01	4.466454060274595017e-01
3.960714806913975816e-01	-8.822517952854452838e-02
7.340841318037764074e-01	7.070349790280472391e-01
2.086106270649271954e-01	-1.281317670392589481e+00
5.039173268097093539e-01	1.074029753447174607e-01
2.223818058654691010e-01	-1.576316052103480247e+00
2.458790163427575226e-01	-1.078838223186030953e+00
9.135053352804642923e-01	1.079890369467166433e+00
5.954235749913580067e-01	5.396827264615144948e-01
4.447256478321064410e-01	9.022616080291970264e-02
4.242080862640412176e-01	-6.083522074015346170e-02
2.794950812598521184e-01	-6.189274018126396104e-01
6.091221095500526372e-01	4.904599997524142774e-01
4.433696558089018080e-01	1.073601198136495405e-01
5.531665557871883188e-01	1.679819180909044030e-01
2.322946352261536784e-01	-1.046958599687053404e+00
1.741322764919473465e-01	-1.696753762474564331e+00
8.260165837877878614e-01	1.010179932020237370e+00
5.169069008410305255e-01	1.044385850589885090e-01
4.070930573401319585e-01	-1.577283195352682243e-01
6.645554265571723684e-01	5.727660605722040277e-01
6.335068855896671680e-01	5.025419052645890838e-01
7.280223142340115361e-01	6.217863174886096855e-01
4.074280394240445968e-01	-1.260815578603626808e-01
6.672456289365046311e-01	4.767910808166393455e-01
7.469530134356217044e-01	7.389957346442113106e-01
3.079845875243437114e-01	-8.118503785143518225e-01
1.444532097574133811e-01	-1.647971555538246591e+00
9.353698078525083393e-01	1.104406609802120132e+00
5.005192232139815678e-01	5.344750265494753183e-01
8.054932230966945772e-01	7.829290268899207206e-01
4.519266428677073399e-01	2.386414003025822128e-01
6.800004396330230350e-01	7.511847932995955324e-01
7.913349047791650159e-01	9.222690586326458551e-01
5.297823007442979959e-01	1.225266587816380703e-01
1.381961864006403251e-01	-1.684401415956899850e+00
2.023658500353560097e-01	-1.398101471593480749e+00
6.380279636742410831e-01	2.856542121897418518e-01
5.068486024538335633e-01	3.943270146531910325e-01
7.242095142771194372e-01	5.556568014788725307e-01
1.727443080004019971e-01	-1.695476290943975561e+00
8.218886234042451777e-01	8.119313847151763408e-01
2.081678737216034192e-01	-1.096906280528981315e+00
5.498776775140379325e-01	2.990974609669971862e-01
1.542161787402132889e-01	-1.976160079883280352e+00
3.143424115637080130e-01	-8.152942056538767801e-01
8.932245077259950428e-01	9.625886326032351281e-01
3.891711291596244848e-01	-3.548652165460492447e-01
3.486498690539865941e-01	-4.922220917627288528e-01
3.054082892293759621e-01	-1.215142979231065512e+00
9.029473039165986092e-01	1.178340909635866351e+00
5.073462114740576734e-01	8.456897611457370179e-02
2.973027340162863186e-01	-1.046697001014363249e+00
6.044541003147942959e-01	4.691928793266841868e-01
2.732463302137673744e-01	-1.359267197325766841e+00
8.501287213833742529e-01	1.082322006397456793e+00
7.176258046781459621e-01	8.343909277806342839e-01
2.184220722684644678e-01	-1.602691411403664556e+00
7.934141822109606890e-02	-2.260192944097373147e+00
1.010479400106432113e-01	-1.724433289749306430e+00
7.970419663810680566e-01	7.741024562736595893e-01
4.459007086867792791e-01	-1.741297873348085501e-02
1.420531569343546074e-01	-1.994599143481518011e+00
6.552718046233838578e-01	6.736232908843873268e-01
5.462559341785839795e-01	-1.514870499700147755e-01
1.666165196345706645e-01	-2.153513938324111088e+00
2.910582417891574014e-01	-8.834907423357933887e-01
5.441694788361612911e-01	3.929020815489463470e-01
5.934473111660210076e-01	4.814613331590570922e-01
2.095224884390116671e-01	-1.331628084967302339e+00
2.896077697416009622e-01	-1.036588995594517337e+00
5.184504481048879398e-01	4.983513173677469044e-01
2.799559194693527764e-01	-9.884097080367848509e-01
7.036085367705902094e-01	7.138264535199729810e-01
1.155545571341478894e-01	-2.207769986779887006e+00
2.247629849106951294e-01	-1.152852442307258141e+00
5.707425546824772544e-01	3.340771955177284092e-01
4.414721061033947680e-01	2.070891635121078489e-01
1.975987727595445165e-01	-1.037253890602839235e+00
1.276450275182684224e-01	-1.568496038578953922e+00
9.002110631187451029e-01	1.110660999868219312e+00
7.638045493042294742e-01	9.582717937588305368e-01
2.479023400227214624e-01	-9.298826122433545560e-01
5.009964227162522210e-01	3.831470085092870126e-01
1.766284112864147382e-01	-1.959057420583705467e+00
7.022529553844970573e-01	7.909307367305706826e-01
6.917275965805188553e-01	5.661543920005519537e-01
5.796609171580416886e-01	5.115484116668886916e-01
3.097383876869702068e-01	-8.105661594530633174e-01
2.090048196654985257e-01	-1.252376679904388057e+00
2.674392239449131514e-01	-9.181500605112589142e-01
3.179732795426536973e-01	-8.756153429695938684e-01
9.027254620774929350e-01	1.153368744143221658e+00
3.214496586446687343e-01	-5.037440239378143669e-01
8.977349746820721954e-01	1.192704885697484007e+00
5.420169526463666232e-01	3.073068559294103719e-01
2.092768868450234354e-01	-1.373225504682922482e+00
2.801843239746835135e-01	-1.225876258837831356e+00
4.164206451841801493e-01	4.886133689871613450e-02
6.461648532610080320e-01	7.388066089406359893e-01
5.159268689646905326e-01	1.375000760421628276e-01
4.677001320253733607e-01	1.629855230808145428e-01
9.461699141796623413e-01	1.164795326763047090e+00
2.950124250874112120e-01	-9.975195605630915452e-01
5.376708213227103794e-01	2.096195276611711733e-01
2.187209472113614550e-01	-1.277967175856304038e+00
5.320497793048242219e-01	2.734308071165805765e-01
7.707896969845957624e-01	7.750594201313604215e-01
1.919859770911666874e-01	-1.552712919111912226e+00
7.507195787833405021e-01	6.704205747969490536e-01
3.126729873104832635e-01	-8.807523686227984872e-01
5.916277131040447168e-01	4.657459761736063575e-01
1.571878802684024690e-01	-1.869155282018907682e+00
5.505648879070917934e-01	3.154039557087941481e-01
5.814216334264279418e-01	3.306413445272817220e-01
3.704235320264942510e-01	-3.801402735933853694e-01
3.457270373132811936e-01	-7.893878208110374217e-01
3.892954309929244627e-01	-1.375601227254943382e-01
1.654015675894503490e-01	-1.369793554626246745e+00
4.027908343142538317e-01	-1.157384702789263642e-01
1.245638013433948837e-01	-1.571969999215960589e+00
8.842994808140091090e-01	1.102747510455319935e+00
